Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ullah, Rahmat; Ahmad, Naveed; Malik, Saif UR; Akbar, Saeed; Anjum, Adeel; ","Simulator for modeling, analysis, and visualizations of thermal status in data centers",Sustainable Computing: Informatics and Systems,19,,324-340,2018,Elsevier
"Ullah, Rahmat; Arslan, Tughrul; ",Detecting pathological changes in the brain due to alzheimer disease using numerical microwave signal analysis,2020 IEEE international RF and microwave conference (RFM),,,1-4,2020,IEEE
"Saied, Imran; Arslan, Tughrul; Ullah, Rahmat; Liu, Changjiang; Wang, Fengzhou; ",Hardware accelerator for wearable and portable radar-based microwave breast imaging systems,2021 IEEE International Symposium on Circuits and Systems (ISCAS),,,1-5,2021,IEEE
"Ullah, Rahmat; Arslan, Tughrul; ",Parallel delay multiply and sum algorithm for microwave medical imaging using spark big data framework,Algorithms,14,5,157,2021,MDPI
"Ullah, Rahmat; Saied, Imran; Arslan, Tughrul; ",Measurement of whole-brain atrophy progression using microwave signal analysis,Biomedical Signal Processing and Control,71,,103083,2022,Elsevier
"Ullah, Rahmat; ","A Simulator for Analysis, Modeling and Visualization of Thermal Status in Data Center",,,,,2017,COMSATS University Islamabad
"Ullah, Rahmat; Saied, Imran; Arslan, Tughrul; ",Experimental radar data for monitoring brain atrophy progression,Data in brief,43,,108379,2022,Elsevier
"Ullah, Rahmat; Saied, Imran; Arslan, Tughrul; ",Big Data-Machine Learning Processing of Recorded Radiofrequency Physiological and Pathological Measurements to Predict the Progression of Alzheimer’s Disease,2021 IEEE Asia-Pacific Microwave Conference (APMC),,,223-225,2021,IEEE
"Akbar, Saeed; Ahmad, Iftikhar; Khan, Rizwan; Lopes, Ivandro Ortet; Ullah, Rahmat; ",Multi-skills resource constrained and personality traits based project scheduling,IEEE Access,10,,131419-131429,2022,IEEE
"Ullah, Rahmat; Asghar, Ikram; Griffiths, Mark G; ",An integrated methodology for bibliometric analysis: a case study of internet of things in healthcare applications,Sensors,23,1,67,2022,MDPI
"Ullah, Rahmat; Saied, Imran; Arslan, Tughrul; ",Multistatic radar-based imaging in layered and dispersive media for biomedical applications,Biomedical Signal Processing and Control,82,,104568,2023,Elsevier
"Asghar, Ikram; Ullah, Rahmat; Griffiths, Mark G; Warren, William; Thomas, Rhys; Frowen, Geraint; ",Exploring the impact of an augmented reality application for bespoke musical instruments,2022 International Conference on Engineering and Emerging Technologies (ICEET),,,1-6,2022,IEEE
"Ullah, Rahmat; Asghar, Ikram; Griffiths, Mark G; Evans, Gareth; Dennis, Rory; ",An autonomous vehicle prototype for off-road applications based on deep convolutional neural network,2022 International Conference on Engineering and Emerging Technologies (ICEET),,,1-6,2022,IEEE
"Ullah, Rahmat; Saied, Imran; Arslan, Tughrul; ",Microwave sensing dataset for noninvasive monitoring of ventricle enlargement due to Alzheimer's disease,Data in Brief,47,,109006,2023,Elsevier
